City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
335,Hurghada,EG,27.2574,33.8129,80.64,28,0,2.3,clear sky
336,Batticaloa,LK,7.7102,81.6924,83.37,78,100,7.52,very heavy rain
337,Dombarovskiy,RU,50.7587,59.5386,49.41,41,94,12.26,overcast clouds
338,Nicoya,CR,10.1483,-85.452,85.42,68,92,5.97,overcast clouds
339,Calapi,PH,11.9435,125.0206,71.15,96,33,2.95,scattered clouds
340,West Wendover,US,40.7391,-114.0733,52.81,35,0,29.93,clear sky
341,Prachin Buri,TH,14.0833,101.6667,77.32,88,100,3.83,light rain
342,Narsaq,GL,60.9167,-46.05,55.62,74,93,3.67,overcast clouds
343,Manama,BH,26.2154,50.5832,80.58,48,0,12.66,clear sky
344,Burns Lake,CA,54.2331,-125.7533,44.02,51,100,8.19,overcast clouds
345,Laguna,US,38.421,-121.4238,65.14,42,75,19.57,broken clouds
346,Birjand,IR,32.8663,59.2211,66.67,45,40,16.11,sand
